cluster_rep,size
seed4_row102860,1
seed4_row102863,1
seed4_row102869,1
seed4_row102873,1
seed4_row102877,1
seed4_row102879,1
seed4_row102880,1
seed4_row102882,1
seed4_row102884,1
seed4_row102886,1
seed4_row102891,1
seed4_row102896,1
seed4_row102897,1
seed4_row102898,1
seed4_row102899,1
seed4_row102902,1
seed4_row102905,1
seed4_row102907,1
seed4_row102908,1
seed4_row102910,1
seed4_row102916,1
seed4_row102917,1
seed4_row102921,1
seed4_row102922,1
seed4_row102923,2
seed4_row102924,1
seed4_row102925,1
seed4_row102926,1
seed4_row102928,1
seed4_row102930,2
seed4_row102932,1
seed4_row102937,1
seed4_row102938,1
seed4_row102939,1
seed4_row102940,1
seed4_row102942,1
seed4_row102944,1
seed4_row102945,1
seed4_row102947,1
seed4_row102949,1
seed4_row102951,1
seed4_row102952,1
seed4_row102953,1
seed4_row102954,1
seed4_row102957,1
seed4_row102958,1
seed4_row102959,1
seed4_row102960,1
seed4_row102961,1
seed4_row102962,1
seed4_row102966,1
seed4_row102968,1
seed4_row102970,2
seed4_row102971,1
seed4_row102972,1
seed4_row102973,1
seed4_row102981,1
seed4_row102983,1
seed4_row102985,1
seed4_row102988,1
seed4_row102989,1
seed4_row102992,1
seed4_row102993,3
seed4_row102998,1
seed4_row103004,2
seed4_row103009,1
seed4_row103010,2
seed4_row103013,1
seed4_row103014,3
seed4_row103016,1
seed4_row103018,1
seed4_row103019,1
seed4_row103020,1
seed4_row103022,1
seed4_row103025,1
seed4_row103031,1
seed4_row103033,1
seed4_row103034,1
seed4_row103036,1
seed4_row103040,1
seed4_row103048,1
seed4_row103050,1
seed4_row103053,1
seed4_row103054,1
seed4_row103057,1
seed4_row103058,1
seed4_row103064,1
seed4_row103065,1
seed4_row103067,1
seed4_row103068,1
seed4_row103071,1
seed4_row103074,1
seed4_row103076,1
seed4_row103081,1
seed4_row103082,1
seed4_row103087,1
seed4_row103088,2
seed4_row103093,1
seed4_row103094,1
seed4_row103098,1
seed4_row103099,1
seed4_row103100,1
seed4_row103105,1
seed4_row103106,1
seed4_row103109,1
seed4_row103111,4
seed4_row103112,1
seed4_row103113,1
seed4_row103114,1
seed4_row103116,1
seed4_row103117,1
seed4_row103120,1
seed4_row103124,1
seed4_row103126,1
seed4_row103128,1
seed4_row103129,1
seed4_row103133,5
seed4_row103134,1
seed4_row103140,1
seed4_row103142,1
seed4_row103143,1
seed4_row103148,1
seed4_row103149,1
seed4_row103150,1
seed4_row103151,1
seed4_row103152,1
seed4_row103153,1
seed4_row103155,1
seed4_row103156,1
seed4_row103157,1
seed4_row103161,4
seed4_row103164,1
seed4_row103166,1
seed4_row103172,1
seed4_row103174,1
seed4_row103177,1
seed4_row103182,1
seed4_row103185,1
seed4_row103186,1
seed4_row103197,1
seed4_row103199,3
seed4_row103200,1
seed4_row103203,1
seed4_row103207,1
seed4_row103209,1
seed4_row103214,1
seed4_row103215,1
seed4_row103219,1
seed4_row103222,1
seed4_row103223,1
seed4_row103224,1
seed4_row103233,1
seed4_row103234,1
seed4_row103238,1
seed4_row103240,1
seed4_row103242,1
seed4_row103243,1
seed4_row103249,1
seed4_row103251,1
seed4_row103252,2
seed4_row103256,1
seed4_row103265,1
seed4_row103267,1
seed4_row103269,1
seed4_row103275,1
seed4_row103278,1
seed4_row103280,1
seed4_row103284,1
seed4_row103285,1
seed4_row103287,1
seed4_row103288,1
seed4_row103290,1
seed4_row103292,1
seed4_row103293,1
seed4_row103294,1
seed4_row103296,1
seed4_row103302,1
seed4_row103303,1
